,Surface,E0,Ebare,Eco,Eads,Iter,Method
31,Au_Zr2CS2,-390.98,-374.56,-14.78,-1.63,0,Random
32,Hf_Zr3C2O2,-637.26,-621.3,-14.78,-1.17,0,Random
33,Ni_Zr3C2O2,-631.36,-614.7,-14.78,-1.88,0,Random
34,Pt_Zr3C2S2,-573.43,-557.41,-14.78,-1.24,0,Random
35,Ti_Zr3C2S2,-577.62,-561.62,-14.78,-1.21,0,Random
36,Sc_Zr4C3O2,-815.16,-799.58,-14.78,-0.8,0,Random
37,Zr_Zr4C3O2,-816.19,-800.33,-14.78,-1.08,0,Random
38,Ni_Zr4C3S2,-753.6,-737.58,-14.78,-1.23,0,Random
39,Cr_Zr4C3S2,-757.83,-741.88,-14.78,-1.17,0,Random
40,V_Hf2CO2,-484.36,-468.19,-14.78,-1.39,1,Explore
41,Zr_Zr2CO2,-455.72,-439.78,-14.78,-1.17,1,Explore
42,Au_Ti2CO2,-428.6,-411.02,-14.78,-2.8,1,Explore
43,Pt_Hf2CO2,-482.96,-464.73,-14.78,-3.45,1,Explore
44,Mn_Ti2CO2,-434.37,-418.4,-14.78,-1.19,1,Explore
45,Ir_Zr2CO2,-453.96,-436.62,-14.78,-2.56,1,Explore
46,Cr_Ti2CO2,-434.97,-418.66,-14.78,-1.52,1,Explore
47,Rh_Zr4C3O2,-812.55,-795.81,-14.78,-1.96,1,Explore
48,Ta_Hf3C2O2,-680.29,-663.77,-14.78,-1.74,1,Explore
49,Ag_Hf2CO2,-478.31,-462.46,-14.78,-1.07,1,Explore
50,Ag_Ti3C2S2,-543.84,-527.99,-14.78,-1.07,2,Explore
51,Ti_Hf2CO2,-484.22,-468.16,-14.78,-1.28,2,Explore
52,Ir_Hf2CO2,-483.59,-466.04,-14.78,-2.77,2,Explore
53,Ta_Hf4C3O2,-874.81,-858.26,-14.78,-1.77,2,Explore
54,Cu_Zr2CS2,-392.15,-376.31,-14.78,-1.06,2,Explore
55,Pd_Hf2CS2,-420.26,-404.27,-14.78,-1.2,2,Explore
56,Co_Ti2CO2,-431.88,-415.42,-14.78,-1.68,2,Explore
57,Pt_Ti2CS2,-374.54,-357.66,-14.78,-2.1,2,Explore
58,Ni_Hf2CS2,-421.2,-405.07,-14.78,-1.35,2,Explore
59,W_Zr2CS2,-400.36,-383.45,-14.78,-2.13,2,Explore
60,Ir_Ti2CO2,-432.09,-414.5,-14.78,-2.81,3,Explore
61,Pt_Ti3C2S2,-547.36,-530.6,-14.78,-1.97,3,Explore
62,Au_Ti2CS2,-371.31,-354.71,-14.78,-1.82,3,Explore
63,Pt_Hf2CS2,-420.97,-404.7,-14.78,-1.49,3,Explore
64,Pt_Hf3C2S2,-614.47,-598.35,-14.78,-1.34,3,Explore
65,Pt_Zr2CS2,-393.96,-377.79,-14.78,-1.38,3,Explore
66,Sc_Ti2CS2,-377.22,-361.67,-14.78,-0.77,3,Explore
67,Pd_Hf2CO2,-481.6,-465.07,-14.78,-1.76,3,Explore
68,Au_Hf2CS2,-418.13,-401.51,-14.78,-1.84,3,Explore
