Surface,E0,method
Ag_Ti3C2S2,-527.98705,explore
Ti_Hf2CO2,-468.16032,explore
Ir_Hf2CO2,-466.03753,explore
Ta_Hf4C3O2,-858.25979,explore
Cu_Zr2CS2,-376.31163,explore
Pd_Hf2CS2,-404.27466,explore
Co_Ti2CO2,-415.41951,explore
Pt_Ti2CS2,-357.65742,explore
Ni_Hf2CS2,-405.06964,explore
W_Zr2CS2,-383.44513,explore
