Surface,E0,method
Y_Ti3C2O2,-592.31169,exploit
Y_Ti2CO2,-419.40933,exploit
Sc_Zr2CS2,-381.66054,exploit
Sc_Zr3C2O2,-619.19568,exploit
Fe_Zr4C3S2,-740.29904,exploit
Y_Zr2CO2,-439.28067,exploit
Sc_Zr4C3S2,-741.53668,exploit
Sc_Hf2CS2,-408.50634,exploit
Y_Hf4C3S2,-797.03293,exploit
Y_Ti4C3O2,-766.13565,exploit
