Surface,E0,method
Ag_Zr4C3S2,-734.44587,exploit
Sc_Hf4C3O2,-856.86328,exploit
Sc_Hf3C2S2,-602.40765,exploit
Y_Ti4C3S2,-708.24219,exploit
Y_Hf2CO2,-468.17965,exploit
Fe_Ti3C2S2,-533.43958,exploit
Ag_Ti2CS2,-355.12062,exploit
Sc_Ti4C3S2,-707.86368,exploit
Sc_Ti3C2S2,-534.59002,exploit
Ag_Zr3C2S2,-554.47608,exploit
