Surface,E0,method
Y_Zr2CS2,-382.13071,exploit
Y_Zr3C2O2,-619.59448,exploit
Y_Zr4C3O2,-799.9992,exploit
Sc_Ti3C2O2,-591.90617,exploit
Sc_Zr3C2S2,-561.49141,exploit
Pt_Hf3C2O2,-657.90952,explore
Sc_Hf2CO2,-467.86708,explore
Sc_Zr2CO2,-438.92975,explore
Sc_Ti2CO2,-419.02109,explore
Sc_Hf3C2O2,-662.29723,explore
