Surface,E0,method
Y_Zr3C2S2,-561.96372,exploit
Sc_Ti4C3O2,-765.69836,exploit
Y_Hf3C2S2,-602.8478,exploit
Y_Ti2CS2,-362.04149,exploit
Y_Zr4C3S2,-741.99404,exploit
Y_Ti3C2S2,-534.95224,exploit
Y_Hf3C2O2,-662.69902,exploit
Sc_Hf4C3S2,-796.60222,exploit
Ti_Zr2CO2,-439.11662,exploit
Y_Hf4C3O2,-857.2906,exploit
