Surface,E0,method
Fe_Zr2CS2,-380.61325,exploit
Ag_Hf2CS2,-401.95734,exploit
Zr_Ti2CO2,-419.86256,exploit
Ti_Zr3C2O2,-619.24015,exploit
Mn_Zr4C3S2,-741.60235,exploit
Mn_Zr3C2S2,-561.5913,exploit
Mn_Zr3C2O2,-618.86768,exploit
Mn_Zr2CS2,-381.88387,exploit
Fe_Zr3C2S2,-559.41188,exploit
Ag_Zr2CS2,-374.88087,exploit
