Surface,E0,method
Ir_Ti2CO2,-414.50407,explore
Pt_Ti3C2S2,-530.60455,explore
Au_Ti2CS2,-354.70865,explore
Pt_Hf2CS2,-404.69662,explore
Pt_Hf3C2S2,-598.34906,explore
Pt_Zr2CS2,-377.7943,explore
Sc_Ti2CS2,-361.66807,explore
Au_Hf2CS2,-401.51034,explore
Pd_Zr2CS2,-377.32687,explore
Pd_Hf2CO2,-465.068,explore
